,id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,log_trip_duration,month,day_of_year,anomal_memorial,anomal_blizzard,haversine,log_haversine,avg_speed,busy_traffic,free_traffic,JFK_pickup,JFK_dropoff,LGA_pickup,LGA_dropoff,pickup_cell_-1,pickup_cell_0,pickup_cell_1,pickup_cell_2,pickup_cell_3,pickup_cell_4,pickup_cell_5,pickup_cell_6,pickup_cell_7,pickup_cell_8,pickup_cell_9,pickup_cell_10,pickup_cell_11,pickup_cell_12,pickup_cell_13,pickup_cell_14,pickup_cell_15,pickup_cell_16,pickup_cell_17,pickup_cell_18,pickup_cell_19,pickup_cell_20,pickup_cell_21,pickup_cell_22,pickup_cell_23,pickup_cell_24,dropoff_cell_-1,dropoff_cell_0,dropoff_cell_1,dropoff_cell_2,dropoff_cell_3,dropoff_cell_4,dropoff_cell_5,dropoff_cell_6,dropoff_cell_7,dropoff_cell_8,dropoff_cell_9,dropoff_cell_10,dropoff_cell_11,dropoff_cell_12,dropoff_cell_13,dropoff_cell_14,dropoff_cell_15,dropoff_cell_16,dropoff_cell_17,dropoff_cell_18,dropoff_cell_19,dropoff_cell_20,dropoff_cell_21,dropoff_cell_22,dropoff_cell_23,dropoff_cell_24,pickup_cell,dropoff_cell,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
243178,id1278794,2,2016-04-05 20:22:18,6,-73.97493743896483,40.76123809814453,-73.99755859375,40.733501434326165,N,693,6.542471960506805,4,96,False,False,3.625401956808566,1.5315632767682001,0.005231460255135016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
94982,id0392216,2,2016-06-24 19:36:50,1,-73.97683715820312,40.79043960571289,-74.0160903930664,40.711380004882805,N,1497,7.311886164077165,6,176,False,False,9.392304197812955,2.3410655512467393,0.006274084300476256,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1325755,id0880292,1,2016-01-22 10:04:10,1,-74.00070953369139,40.73592376708984,-74.00975799560547,40.71329498291016,N,917,6.822197390620491,1,22,False,False,2.629203999710159,1.2890133404041433,0.0028671799342531723,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
141806,id3644314,1,2016-03-19 22:51:12,1,-73.9757308959961,40.75773239135742,-73.99273681640625,40.756126403808594,N,582,6.368187186350492,3,79,False,False,1.443473788448884,0.8934207106187197,0.0024801955127987697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12,11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
763656,id2186486,1,2016-05-15 11:31:48,2,-73.78962707519531,40.643264770507805,-73.97870635986328,40.76155090332031,N,2945,7.988203597022576,5,136,False,False,20.66509096526243,3.075702253902764,0.00701700881672748,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-1,17,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1358556,id0203895,1,2016-01-29 09:26:48,1,-73.97335052490233,40.76383209228516,-73.97847747802734,40.764842987060554,N,215,5.375278407684165,1,29,False,False,0.4461793925124058,0.3689251772535161,0.0020752529884297943,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,17,17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250196,id2676641,2,2016-02-23 06:35:51,1,-73.9720001220703,40.79644012451172,-73.93939208984375,40.80514144897461,N,621,6.432940092739179,2,54,False,False,2.910258780385701,1.3636035560490614,0.0046864070537611935,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1301258,id2057441,1,2016-02-13 02:18:37,2,-73.98884582519531,40.721538543701165,-73.98267364501953,40.73942947387695,N,318,5.765191102784844,2,44,False,False,2.056239176125536,1.117185132680757,0.0064661609312123775,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
759345,id0245084,2,2016-04-14 13:33:42,3,-74.00514221191406,40.718460083007805,-74.00493621826173,40.73736953735352,N,441,6.091309882077698,4,105,False,False,2.1027070369157386,1.1322749681556172,0.004768043167609384,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1175457,id3864341,1,2016-06-13 00:26:55,1,-73.8728790283203,40.77421569824219,-73.98666381835938,40.747024536132805,N,1351,7.20934025660291,6,165,False,False,10.049041882040555,2.4023437166968065,0.007438224931192121,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,11,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
